,text,reviewId,city,lan,5D,Reliability,Tangibility,Empathy,Responsiveness,Assurance
2,"Best soul food in town. If you tired of eating at restaurants that’s cheap, where they give you more sauce then they give you meat.. lol come on down to yard bbq Josh will get you right",ChZDSUhNMG9nS0VJQ0FnSUNoblpPMlNBEAE,Atlanta,en,Reliability,True,False,False,False,False
13,Good tasting but portion size for a small who are the amount of money,ChZDSUhNMG9nS0VJQ0FnSUNoMzlUVmRBEAE,Atlanta,en,Tangibility,False,True,False,False,False
14,"Don’t try to order out from them you will not get your food, not given updates, not answer the phone, not respond to you, and try and keep the money. I wish I could tell you how the food was but I wouldn’t know.",ChZDSUhNMG9nS0VJQ0FnSURldk5Dd013EAE,Atlanta,en,Responsiveness,False,False,False,True,False
19,Was closed and a pod was at the front door .. appear to be moving or closing up!,ChZDSUhNMG9nS0VJQ0FnSUNXMzl2NktREAE,Atlanta,en,Reliability,True,False,False,False,False
20,How is the public supposed to know you guys are closed for renovations?,ChZDSUhNMG9nS0VJQ0FnSUMxaHNIWExBEAE,Atlanta,en,Assurance,False,False,False,False,True
35,As good as it gets. Every wine by the glass is delicious. Backed by an extensive bottle menu. Food is outstanding.,ChdDSUhNMG9nS0VJQ0FnSUQ5N291dG1RRRAB,Atlanta,en,"Tangibility, Reliability",True,True,False,False,False
39,"Couldn’t ask for a better experience. The atmosphere is beautiful, the menu has everything you could ever want, and the service is wonderful - everyone is so knowledgeable and kind. Highly recommend treating yourself to lunch service at the bar!",ChZDSUhNMG9nS0VJQ0FnSURkcm9UN1RREAE,Atlanta,en,"Tangibility, Empathy, Assurance",False,True,True,False,True
41,This place was nothing short of amazing. Sherlin’s service was exceptional. The ramen and the specialty cocktails were some of the best I have had in a long time. Recommend this place if you want a great experience with the utmost exceptional service. Will come again.,ChZDSUhNMG9nS0VJQ0FnSUNqenA3a2ZBEAE,Atlanta,en,"Empathy, Reliability, Assurance",True,False,True,False,True
48,Sherlin did an excellent job! The food was amazing as well as the atmosphere. 10/10 place will go again!,ChdDSUhNMG9nS0VJQ0FnSUNEd19TWjBnRRAB,Atlanta,en,"Empathy, Reliability",True,False,True,False,False
54,"Absolutely delicious 🤤. Great service, drinks, and very cute restaurant. A must visit if you're in Atlanta.",ChdDSUhNMG9nS0VJQ0FnSUNEN3FfYzV3RRAB,Atlanta,en,"Tangibility, Empathy",False,True,True,False,False
