,original_index,text,reviewId,city,lan,5D,Reliability,Tangibility,Empathy,Responsiveness,Assurance
1,3183,"Everything we ordered was delicious. Their sauce is outstanding. We loved their eggplant rollatini and their lobster ravioli. Our waiter was friendly, professional and generous. Their bread is soft and yummy too. Highly recommend if you’re in the area.",ChdDSUhNMG9nS0VJQ0FnSUREMGJLQ2tRRRAB,Dallas,en,"Tangibility, Empathy, Assurance",False,True,True,False,True
3,1713,Listen..... Take The Time... Just Go and Try this INSANE FOOD.... YOU WON'T BE DISAPPOINTED,ChZDSUhNMG9nS0VJQ0FnSUQ5MGZ2NUxBEAE,Boston,en,Tangibility,False,True,False,False,False
4,1793,Good,ChdDSUhNMG9nS0VJQ0FnSURwcmRlaS1BRRAB,Cary,en,Tangibility,False,True,False,False,False
8,3719,Monica was free flu,ChZDSUhNMG9nS0VJQ0FnSUNwc2ZmeFFnEAE,Dallas,en,Empathy,False,False,True,False,False
10,4286,"Great experience, always excited about the food.",ChdDSUhNMG9nS0VJQ0FnSUNqMFpIUWx3RRAB,New York,en,Reliability,True,False,False,False,False
14,130,I like the atmosphere but there is nothing vegan here.,ChdDSUhNMG9nS0VJQ0FnSUNaMDdySl9BRRAB,Atlanta,en,"Tangibility, Empathy",False,True,True,False,False
15,148,Me and my lady had such an amazing time at Babylon Cafe. Will definitely return.,ChdDSUhNMG9nS0VJQ0FnSUNkMEtubTN3RRAB,Atlanta,en,Empathy,False,False,True,False,False
19,1840,"Had the Frizzled Fowl chicken and waffles, and they didn’t disappoint! The chicken was fresh and the drizzle was delicious. Our server was great and the food came out quickly.",ChZDSUhNMG9nS0VJQ0FnSURELTV5VFJ3EAE,Cary,en,"Reliability, Responsiveness",True,False,False,True,False
20,2018,"Lovely place, the food is delicious, their hibachi chicken is amazing, I eat it atleast once a week. Friendly staff and good food combine to make this a great restaurant experience.",ChZDSUhNMG9nS0VJQ0FnSUNkNDlEdFNnEAE,Cary,en,"Tangibility, Empathy, Reliability",True,True,True,False,False
21,2494,Go here if you like moldy food.,ChdDSUhNMG9nS0VJQ0FnSUNqenR6Um5nRRAB,Charlotte,en,Assurance,False,False,False,False,True
22,2589,Cracker Barrel has a really good menu of breakfast and lunch dinner items. It has a nice country store that has a host of items to browse and purchase. The food was good the service was also good.,ChZDSUhNMG9nS0VJQ0FnSUREbHJ5M1FBEAE,Charlotte,en,"Reliability, Responsiveness",True,False,False,True,False
24,3525,Horrible overall,ChdDSUhNMG9nS0VJQ0FnSUMxb2JySnJnRRAB,Dallas,en,Assurance,False,False,False,False,True
25,3657,Love this place come here with my hubby and we can't get enough. We come at least once a week,ChdDSUhNMG9nS0VJQ0FnSUMxc3VhZTFBRRAB,Dallas,en,Reliability,True,False,False,False,False
26,3667,Amazing attitude from the morning shift crew. Always a great experience,ChRDSUhNMG9nS0VJQ0FnSUMxLXQ0LRAB,Dallas,en,Empathy,False,False,True,False,False
27,4183,Very delicious food.. small family owned restaurant…loved the huraches…,ChdDSUhNMG9nS0VJQ0FnSUNKbzlDaTl3RRAB,New York,en,Tangibility,False,True,False,False,False
28,4241,Great food and service. Highly recommend! Love this place,ChdDSUhNMG9nS0VJQ0FnSUREbmNicTRnRRAB,New York,en,Assurance,False,False,False,False,True
29,4321,"""It's the Rong restaurant""",ChdDSUhNMG9nS0VJQ0FnSUREaGJ5anlnRRAB,New York,en,Reliability,True,False,False,False,False
30,4581,This isn't a hotel,ChdDSUhNMG9nS0VJQ0FnSUNqOGFxTTRRRRAB,San Francisco,en,Tangibility,False,True,False,False,False
31,4688,What I would say is that the waiter wearing a pair of glasses is totally an attacker. Be safe.,ChdDSUhNMG9nS0VJQ0FnSUNEMkx6ZHBnRRAB,San Francisco,en,Empathy,False,False,True,False,False
