,original_index,text,reviewId,city,lan,5D,Reliability,Tangibility,Empathy,Responsiveness,Assurance
0,143,Thats a great,ChZDSUhNMG9nS0VJQ0FnSURkOTd6WGJnEAE,Atlanta,en,No specific dimension mentioned,False,False,False,False,False
1,3183,"Everything we ordered was delicious. Their sauce is outstanding. We loved their eggplant rollatini and their lobster ravioli. Our waiter was friendly, professional and generous. Their bread is soft and yummy too. Highly recommend if you’re in the area.",ChdDSUhNMG9nS0VJQ0FnSUREMGJLQ2tRRRAB,Dallas,en,,False,False,False,False,False
2,1064,good,ChdDSUhNMG9nS0VJQ0FnSURELWJyVDRRRRAB,Atlanta,en,Not enough information to determine relevant dimension,False,False,False,False,False
3,1713,Listen..... Take The Time... Just Go and Try this INSANE FOOD.... YOU WON'T BE DISAPPOINTED,ChZDSUhNMG9nS0VJQ0FnSUQ5MGZ2NUxBEAE,Boston,en,Not enough information to determine relevant dimension,False,False,False,False,False
4,1793,Good,ChdDSUhNMG9nS0VJQ0FnSURwcmRlaS1BRRAB,Cary,en,-,False,False,False,False,False
5,2140,Love this place,ChZDSUhNMG9nS0VJQ0FnSUQ5LXU2NVdnEAE,Cary,en,,False,False,False,False,False
6,3164,Good,ChZDSUhNMG9nS0VJQ0FnSUQ5MmJPWWRnEAE,Dallas,en,Not enough information to determine a relevant dimension,False,False,False,False,False
7,3215,Very good,ChZDSUhNMG9nS0VJQ0FnSUQ2Nk82T1BnEAE,Dallas,en,Not enough information to determine relevant dimension,False,False,False,False,False
8,3719,Monica was free flu,ChZDSUhNMG9nS0VJQ0FnSUNwc2ZmeFFnEAE,Dallas,en,-,False,False,False,False,False
9,4146,I'm God,ChdDSUhNMG9nS0VJQ0FnSUNwNDRXd19RRRAB,New York,en,,False,False,False,False,False
10,4286,"Great experience, always excited about the food.",ChdDSUhNMG9nS0VJQ0FnSUNqMFpIUWx3RRAB,New York,en,Not enough information to determine a relevant dimension,False,False,False,False,False
11,4810,good mexican food,ChdDSUhNMG9nS0VJQ0FnSUNqdk9LWm9nRRAB,San Francisco,en,Not enough information to determine relevant dimension,False,False,False,False,False
12,5315,Monday Night Blues,ChZDSUhNMG9nS0VJQ0FnSUMxM1p1Sk9nEAE,Washington,en,-,False,False,False,False,False
13,6487,Wing so goody,ChZDSUhNMG9nS0VJQ0FnSUNCbmFpb0F3EAE,New Orleans,en,Not enough information to determine relevant dimension,False,False,False,False,False
14,130,I like the atmosphere but there is nothing vegan here.,ChdDSUhNMG9nS0VJQ0FnSUNaMDdySl9BRRAB,Atlanta,en,,False,False,False,False,False
15,148,Me and my lady had such an amazing time at Babylon Cafe. Will definitely return.,ChdDSUhNMG9nS0VJQ0FnSUNkMEtubTN3RRAB,Atlanta,en,,False,False,False,False,False
16,310,The trenches,ChdDSUhNMG9nS0VJQ0FnSUNqdGQ3TXlnRRAB,Atlanta,en,(No relevant dimension),False,False,False,False,False
17,561,Oof,ChZDSUhNMG9nS0VJQ0FnSURxNjRmVFNBEAE,Atlanta,en,(No specific dimension mentioned),False,False,False,False,False
18,1436,Best restaurant in town,ChdDSUhNMG9nS0VJQ0FnSUMxaWFpM3RnRRAB,Boston,en,,False,False,False,False,False
19,1840,"Had the Frizzled Fowl chicken and waffles, and they didn’t disappoint! The chicken was fresh and the drizzle was delicious. Our server was great and the food came out quickly.",ChZDSUhNMG9nS0VJQ0FnSURELTV5VFJ3EAE,Cary,en,,False,False,False,False,False
20,2018,"Lovely place, the food is delicious, their hibachi chicken is amazing, I eat it atleast once a week. Friendly staff and good food combine to make this a great restaurant experience.",ChZDSUhNMG9nS0VJQ0FnSUNkNDlEdFNnEAE,Cary,en,,False,False,False,False,False
21,2494,Go here if you like moldy food.,ChdDSUhNMG9nS0VJQ0FnSUNqenR6Um5nRRAB,Charlotte,en,(No relevant dimension),False,False,False,False,False
22,2589,Cracker Barrel has a really good menu of breakfast and lunch dinner items. It has a nice country store that has a host of items to browse and purchase. The food was good the service was also good.,ChZDSUhNMG9nS0VJQ0FnSUREbHJ5M1FBEAE,Charlotte,en,,False,False,False,False,False
23,3456,Good,ChZDSUhNMG9nS0VJQ0FnSUNqMnM3aVNREAE,Dallas,en,,False,False,False,False,False
24,3525,Horrible overall,ChdDSUhNMG9nS0VJQ0FnSUMxb2JySnJnRRAB,Dallas,en,(No specific dimension mentioned),False,False,False,False,False
25,3657,Love this place come here with my hubby and we can't get enough. We come at least once a week,ChdDSUhNMG9nS0VJQ0FnSUMxc3VhZTFBRRAB,Dallas,en,,False,False,False,False,False
26,3667,Amazing attitude from the morning shift crew. Always a great experience,ChRDSUhNMG9nS0VJQ0FnSUMxLXQ0LRAB,Dallas,en,,False,False,False,False,False
27,4183,Very delicious food.. small family owned restaurant…loved the huraches…,ChdDSUhNMG9nS0VJQ0FnSUNKbzlDaTl3RRAB,New York,en,,False,False,False,False,False
28,4241,Great food and service. Highly recommend! Love this place,ChdDSUhNMG9nS0VJQ0FnSUREbmNicTRnRRAB,New York,en,,False,False,False,False,False
29,4321,"""It's the Rong restaurant""",ChdDSUhNMG9nS0VJQ0FnSUREaGJ5anlnRRAB,New York,en,,False,False,False,False,False
30,4581,This isn't a hotel,ChdDSUhNMG9nS0VJQ0FnSUNqOGFxTTRRRRAB,San Francisco,en,,False,False,False,False,False
31,4688,What I would say is that the waiter wearing a pair of glasses is totally an attacker. Be safe.,ChdDSUhNMG9nS0VJQ0FnSUNEMkx6ZHBnRRAB,San Francisco,en,,False,False,False,False,False
32,4888,"Can't get any fresher. Great place for seafood. Not quite a restaurant setting, more of a cafe. Good wine list as well",ChdDSUhNMG9nS0VJQ0FnSUNRM3VxVy1BRRAB,Seattle,en,,False,False,False,False,False
33,6214,"Had a wonderful dinner , good music , warm atmosphere , home cooked Louisiana style , Owner was friendly and explained his menu , loved the meal , highly recommended",ChZDSUhNMG9nS0VJQ0FnSUM5NmNHLUt3EAE,New Orleans,en,,False,False,False,False,False
34,6544,Wow!! What a superb diner breakfast.The grit cakes were an amazing twist on a savory. And the sweet potato biegnets were new to me and delicious. Perfect sweet and cinnamon. The biscuits and gravy was magic. The eggs scrambled soft were the best I’ve ever had. Thanks for everything!,ChZDSUhNMG9nS0VJQ0FnSUNsd05UT0Z3EAE,New Orleans,en,,False,False,False,False,False
35,6566,This place all around just trash,ChZDSUhNMG9nS0VJQ0FnSURENEkzU2ZnEAE,New Orleans,en,,False,False,False,False,False
36,795,If you were born in Hotlanta and you haven't you may not be really be from Hotlanta...,ChdDSUhNMG9nS0VJQ0FnSUMxbU16R2pRRRAB,Atlanta,en,,False,False,False,False,False
37,2160,Great brunch/lunch spot. I would definitely recommend if you’re in the area.,ChZDSUhNMG9nS0VJQ0FnSUREOHBiS0Z3EAE,Cary,en,Not enough information to determine relevant dimension,False,False,False,False,False
38,3577,Great,ChdDSUhNMG9nS0VJQ0FnSUNqaWEyLXVRRRAB,Dallas,en,Not enough information to determine relevant dimension,False,False,False,False,False
39,4327,"""Yo bro this the rong restaurant""",ChZDSUhNMG9nS0VJQ0FnSUQ5aTlhc2Z3EAE,New York,en,,False,False,False,False,False
40,159,Season,ChZDSUhNMG9nS0VJQ0FnSUM2azRTQlZREAE,Atlanta,en,,False,False,False,False,False
41,1043,THIS ADDRESS IS A CHURCH. ST. MARK AME,ChZDSUhNMG9nS0VJQ0FnSUNkXy1HZElnEAE,Atlanta,en,,False,False,False,False,False
42,1098,Ok,ChdDSUhNMG9nS0VJQ0FnSUNOcy1tWHdBRRAB,Boston,en,-,False,False,False,False,False
43,2088,Poor manners Just slammed down the food that came out,ChZDSUhNMG9nS0VJQ0FnSUNqMFB1cEFnEAE,Cary,en,,False,False,False,False,False
44,3574,My Second Time Visiting. My Food was Good and Tasty!,ChZDSUhNMG9nS0VJQ0FnSUR0NTRPSllnEAE,Dallas,en,,False,False,False,False,False
45,4233,No comment at all,ChRDSUhNMG9nS0VJQ0FnSURkeHFRMRAB,New York,en,No dimension specified,False,False,False,False,False
46,5703,Food was absolutely fabulous!!!,ChdDSUhNMG9nS0VJQ0FnSUNqdkpfZm13RRAB,New Orleans,en,,False,False,False,False,False
47,6512,Hey I just got home from work tomorrow night l home and you are going to work tomorrow Jeff,ChZDSUhNMG9nS0VJQ0FnSUM5NmNfeUxREAE,New Orleans,en,,False,False,False,False,False
48,6523,Giving it five stars just because it does what a Taco Bell is supposed to do. It's not like this one started to serve caviar.,ChZDSUhNMG9nS0VJQ0FnSURkeGZtckR3EAE,New Orleans,en,,False,False,False,False,False
49,65,Stop invasive advertising,ChZDSUhNMG9nS0VJQ0FnSUM5NGRUUFZnEAE,Atlanta,en,,False,False,False,False,False
50,1136,- pizza was mid; they put vegemite and Jesus in the sauce - the manager roasted my pet bear - some guy got slapped by the staff when he asked for cheese in his mac and cheese,ChZDSUhNMG9nS0VJQ0FnSUNEdnEydEdBEAE,Boston,en,,False,False,False,False,False
51,1829,Bueno,ChdDSUhNMG9nS0VJQ0FnSUROOGIzbXhRRRAB,Cary,en,,False,False,False,False,False
52,1867,loved it,ChdDSUhNMG9nS0VJQ0FnSUNqNGQ2RDJ3RRAB,Cary,en,,False,False,False,False,False
53,2925,Had a fun time walking the town,ChZDSUhNMG9nS0VJQ0FnSUNaczViMlN3EAE,Chicago,en,,False,False,False,False,False
54,4793,Y,ChdDSUhNMG9nS0VJQ0FnSUNoMjhmQnFRRRAB,San Francisco,en,,False,False,False,False,False
55,3636,Never ate there,ChZDSUhNMG9nS0VJQ0FnSUNvanFtMEZnEAE,Dallas,en,,False,False,False,False,False
56,3665,Decent,ChdDSUhNMG9nS0VJQ0FnSUQxemQzTnFBRRAB,Dallas,en,,False,False,False,False,False
57,3866,Good place to eat,ChdDSUhNMG9nS0VJQ0FnSUNqN3I2azVnRRAB,Dallas,en,,False,False,False,False,False
